1,AFFINITY-K,33.94765565,131.2873767
2,UNTITLED 01-A,33.9540332,131.2465536
3,あなたと…（わすれてしまったこと）,33.953028,131.2812596
4,アルウィン・ニコライの陽-〈眩驚〉,33.95005052,131.2478678
5,あるポーズ,33.952109,131.245524
6,蟻の城,33.94843377,131.2827048
7,脚を組んだ女,33.95593431,131.2495959
8,碧い舟-内なる海と空-,33.95580279,131.2492593
9,1995 KISHI,33.95319547,131.281129
10,イッテ・ミヨウヨ・アノヨマデ,33.94776203,131.2871892
11,異・空間,33.95664042,131.2396662
12,石凧,33.95745886,131.2459436
13,碑 No.4,33.967281,131.330693
14,UMIE（湖へ）,33.960401,131.251197
15,WIG-A,33.95118311,131.2457653
16,宇宙,33.9515142,131.246436
17,宇宙シリーズ・87（四季のメッセージ）,33.95259178,131.2884173
18,宇宙の風景Ⅰ,33.94928671,131.2834716
19,宇奈月,33.94900008,131.2830484
20,宇部の先人をしのび明日をちかう,33.94409413,131.2693351
21,宇部興産ビル旧噴水彫刻,33.966758,131.330046
22,宇部産業祈念像,33.95220418,131.2462507
23,内なる空73-2,33.94746877,131.2874785
24,浮く石,33.95726625,131.2825434
25,エンドレス コア,33.95355055,131.2440005
26,円B,33.93333467,131.2752378
27,円の仕掛／滑空,33.96287255,131.2864676
28,Oscilation VI,33.9470712,131.2836867
29,王と王妃,33.947576,131.251511
30,女,33.94823,131.288366
31,小川に魚が帰った日,33.97507573,131.1993268
32,大首Ⅲ,33.96001597,131.2515671
33,家族,33.94728958,131.2843007
34,寡黙容量,33.96153335,131.2489014
35,環境装置-宇部の風,34.07088282,131.2431612
36,関係-無関係・天と地と種子の響き,33.93268262,131.2723572
37,懸ける,33.95074782,131.2493067
38,風,33.9488516,131.2504412
39,風と雲の出合い,33.98005648,131.3400214
40,風になるとき,33.9474118,131.2850626
41,風に向かって,33.94464717,131.2539824
42,風の影No.6,33.952803,131.2877317
43,風の中の鴉,33.95571975,131.2429813
44,風の塔No.10,33.9356802,131.2751842
45,風の譜,33.93262921,131.2729445
46,球形のフォーメイション,33.9501575,131.2539079
47,虚構の伝説,33.94883322,131.2828208
48,魚商の女,33.96333412,131.2579766
49,共生,33.9529871,131.2442846
50,樹とともに-浮くかたち,33.9468243,131.2885801
51,穹,33.952558,131.2448398
52,蜘蛛のいと,33.94726707,131.2834605
53,コスミック・アーチ,33.94776932,131.2838776
54,この世界のかたち,33.9508426,131.2455965
55,呼吸するとき-傾,33.99448331,131.3485406
56,孤独の輪郭,33.948603,131.2818
57,鼓動,33.9608639,131.2512275
58,光影体,33.9472667,131.2840489
59,坑夫,33.94586917,131.2849296
60,好縁・好円,33.93509938,131.2764851
61,構想計画-新都市,33.95473125,131.2468316
62,高原,33.95617609,131.2497865
63,混在（外部・あ・内部）,33.9472719,131.2838345
64,3・4・5角 宇部のカメラ,33.96119267,131.2506417
65,Cycle-90°「風の予感」Ⅲ,33.95839176,131.2491373
66,SILENT SKY,33.981299,131.29743
67,SUN SADDLE'87,33.94766915,131.2835437
68,再会の門,33.9463911,131.2711593
69,彩構,33.99052909,131.2825521
70,作品1964 LI,33.948154,131.288213
71,作品1969：逆転する煙,33.94923698,131.2823663
72,作品65-3,33.95379495,131.2464871
73,作品66-7：握手する人C,33.967397,131.330008
74,三個の直方体,33.94901167,131.283338
75,山河,33.94897815,131.2831469
76,残像-風Ⅱ,33.95100485,131.2462345
77,支え合う螺旋〈120°〉,33.95165013,131.2453927
78,里の門,33.94904056,131.2586929
79,鑿空,33.9526311,131.2886709
80,SEED 増殖,33.95247452,131.2444337
81,The Age of Stone and Wind,33.94550608,131.2689831
82,しばられたピラミッド,33.95677948,131.2424123
83,四角な太陽Ⅰ,33.94856,131.281737
84,思考空間・9・69「くう…おのれのみしは…」,33.94904257,131.2824163
85,時空の間,33.96114604,131.250108
86,時空の支点／飛び立つ時,33.95602443,131.2715385
87,自重,33.94678952,131.2887144
88,執念-い,33.95749805,131.2458338
89,重力空間-赤,33.94486423,131.2847214
90,重力質 Ring '03,33.94443135,131.2834769
91,循環・メビウス,33.9555439,131.2430696
92,少女（「樹と少女」部分）,33.95619117,131.2498563
93,深化,33.95632375,131.2817304
94,神童三人像,33.9473537,131.2841135
95,親和No.5,33.94784392,131.288437
96,翔陽のもとへ,33.9625383,131.285901
97,STARDUST 95-X-3,33.94707965,131.287954
98,STONE WORK-地標,33.95321343,131.2912355
99,Super Nova,33.9558788,131.2718852
100,座る女,33.9522885,131.2457412
101,世界地図から,33.95582979,131.2494776
102,洗濯機以前,33.95601246,131.2497626
103,そりのあるかたち,33.95802501,131.2421961
104,空・地,33.95172467,131.280083
105,空の天秤,33.95202,131.245591
106,双極子,33.9578973,131.2444778
107,耕す,33.96691264,131.3300344
108,大地の饗宴,33.94897433,131.2835258
109,俵田明翁像,33.9467515,131.2719957
110,立,33.95759424,131.2457675
111,TUNING FORK,33.96117895,131.2500333
112,小さなピラミッド,33.946987,131.2886418
113,地球の明日が見えますか？,33.95757563,131.240728
114,池溝,33.952418,131.290526
115,地霊-R（米）,33.94859389,131.2821113
116,地霊-B（豆）,33.94891021,131.2826922
117,地霊-W（麦）,33.94928706,131.2822546
118,地霊-JM（ひえ）,33.95062275,131.2812346
119,地霊-M（あわ）,33.949343,131.281863
120,柱状構造,33.95662975,131.2812728
121,挑発しあう形Ⅰ,33.94759995,131.2876363
122,超空間,33.95677521,131.2428259
123,つなぎ石-作品3,33.94790942,131.2880898
124,月に向かって進め,33.94927322,131.2836182
125,月の庭,33.9491826,131.2836861
126,Tシャツ,33.94766281,131.2875332
127,手,33.948192,131.288354
128,手をつく女,33.95284697,131.2532328
129,手を前に組む,33.95553144,131.2493168
130,底流,33.949098,131.2821019
131,天象,33.95616282,131.2496041
132,Dreamer,33.95127433,131.2467762
133,Transfiguration“LINK”Ⅶ,33.95613588,131.2430781
134,どうぞおはいりください,33.96348637,131.288608
135,ドッキング（表面）No.51,33.94692613,131.2888826
136,ドッキングNo.26,33.94702172,131.2889949
137,とり,33.95483975,131.2426068
138,ドン・キホーテ・シリーズ「主人は眠ることなく旭を迎え、従者は起きることなく朝を迎える」,33.94862489,131.2819648
139,時のシルエット,33.947634,131.283819
140,時の神殿,33.96257241,131.2863915
141,時の木もれ陽,33.94902167,131.2826858
142,鳥とあそぼう,33.94735349,131.2547696
143,道標・鳩,33.933359,131.27431
144,道標・鳩,33.95608,131.249395
145,道標・鳩,33.956047,131.249349
146,道標・鳩,33.955996,131.249306
147,飛び石,33.95579059,131.2446954
148,人間は神話を捨て去ることが出来るのか-II,33.945255,131.2856793
149,ネジリンボウ'81-A-B,33.94816368,131.2838146
150,ねじれた形'84,33.94465127,131.2702815
151,ノアの家族,33.95690553,131.2426914
152,母のひざ,33.9519555,131.246082
153,ピクニック,33.95405506,131.253943
154,一つの直方体から,33.93478116,131.2744734
155,響,33.947977,131.287824
156,碑,33.9474097,131.2848747
157,標的と人,33.94894675,131.2822552
158,冬の子供,33.95607808,131.2498262
159,二人,33.94768443,131.2870696
160,風景の抜け殻,33.95343431,131.2463016
161,PONKO 94,33.94907482,131.2836568
162,ポカポカ オヒサマ テルホドニ,34.00282561,131.2216586
163,炎の踊り,33.948483,131.282065
164,MIURHA'78,33.9453469,131.284216
165,水辺にて（お兄ちゃんと一緒）＜模型＞,33.95264957,131.2527232
166,未来を語るテーブル,33.9480827,131.2836356
167,無題No.95 1985,33.948162,131.2836318
168,メッセージ,33.95452588,131.2435346
169,メリッサの部屋,33.960087,131.250947
170,メンタルスペース、キューブ'73,33.95691407,131.2402938
171,杜,33.94938812,131.2833658
172,寄り添う座,33.94748735,131.2839266
173,Re-Creation,33.96238109,131.285619
174,リンゴをもつ少年,33.95604,131.249556
175,立方体,33.93290738,131.2727648
176,隆層,33.95739912,131.2824829
177,連山夢想-きらめく,33.96188141,131.2856179
178,Locus of Time Ⅲ,33.93618757,131.2767076
179,ロッキング・ドール,33.94775024,131.2869887
180,ロンド,33.95545101,131.244742
181,わく,33.94628442,131.2849676
182,若きカフカス人,33.948193,131.28838
183,若人たち,33.94680449,131.2716252
184,渡辺祐策翁像,33.95791681,131.2458755
185,若人,33.948159,131.288381
186,COLUMNS OF THE THOUGHT 2007,33.95543166,131.2494024
187,Gravitation,33.95524994,131.2379743
188,Watching the Watchers,33.9479693,131.2837487
189,PERMUTATION,33.94903912,131.2831656
190,立つ人-宇部,33.94878045,131.282896
191,共生,33.9567495,131.248895
192,道標・鴉,33.94855834,131.2820371
193,空を行く2005,33.959693,131.250588
194,森,33.94724487,131.2839717
195,そりのあるかたち,33.9478986,131.2519473
196,王と王妃,33.950233,131.247474
197,水ありて時ながれ,33.94781903,131.2876979
198,Self-consciousness,33.94908366,131.2833083
199,Gravitation,33.93298972,131.2743714
200,台地の日月,33.93558896,131.2779093
201,歩行視のためのオブジェ,33.9478881,131.2882463
202,block,33.95101198,131.2456979
203,道標・鳩,33.93335,131.274316
204,UNITY OF OPPOSITES,33.94914837,131.283334
205,みんなの楽しみ,33.9454083,131.2690244
206,深夜バス,33.94790534,131.282775
207,REDEFINED SPACE,33.94871165,131.282745
208,道標・鳩,33.955998,131.249413
209,土の城,33.95082612,131.2816891
210,温羅,33.94636635,131.2831113
211,THE MAN,33.95127417,131.2458031
212,森に棲む 2010-5,34.04514976,131.2241933
213,The Forest of Mirrors,34.04478527,131.2238231
214,Storage of celestial mechanics,33.947833,131.282989
215,Our Love,33.948582,131.282338
216,Sin,33.948282,131.282815
